,Time,RR_int
0,1.9040000000000001,1.368
1,3.2720000000000002,1.228
2,4.5,1.072
3,5.572,1.272
4,6.844,1.268
5,8.112,1.224
6,9.336,1.072
7,10.408000000000001,1.264
8,11.672,1.324
9,12.996,1.3159999999999998
10,14.312000000000001,1.264
11,15.576,1.252
12,16.828,1.128
13,17.956,1.284
14,19.24,1.32
15,20.56,1.3
16,21.86,1.1840000000000002
17,23.044,1.06
18,24.104,1.288
19,25.392,1.344
20,26.736,1.156
21,27.892,0.988
22,28.88,1.1079999999999999
23,29.988,1.3840000000000001
24,31.372,1.268
25,32.64,1.02
26,33.660000000000004,1.416
27,35.076,1.148
28,36.224000000000004,0.991999999999997
29,37.216,1.24
30,38.456,1.4
31,39.856,1.112
32,40.968,1.0
33,41.968,1.3119999999999998
34,43.28,1.348
35,44.628,1.296
36,45.924,1.06
37,46.984,1.176
38,48.160000000000004,1.368
39,49.528000000000006,1.308
40,50.836000000000006,1.068
41,51.904,1.012
42,52.916000000000004,1.296
43,54.212,1.324
44,55.536,1.256
45,56.792,1.06
46,57.852000000000004,1.088
47,58.940000000000005,1.36
48,60.300000000000004,1.2919999999999998
49,61.592000000000006,1.15199999999999
50,62.74399999999999,1.032
51,63.775999999999996,1.236
52,65.012,1.3159999999999998
53,66.328,1.196
54,67.524,1.008
55,68.532,1.22800000000001
56,69.76,1.3359999999999999
57,71.096,1.28400000000001
58,72.38000000000001,0.99199999999999
59,73.372,1.04000000000001
60,74.412,0.920000000000002
61,75.33200000000001,0.939999999999998
62,76.272,0.8679999999999949
63,77.14,0.896000000000001
64,78.036,0.872
65,78.908,1.33200000000001
66,80.24000000000001,1.392
67,81.632,1.3159999999999998
68,82.94800000000001,1.06
69,84.00800000000001,1.3
70,85.308,1.068
71,86.376,1.38000000000001
72,87.75600000000001,1.3
73,89.05600000000001,0.963999999999999
74,90.02000000000001,1.21599999999999
75,91.236,1.3159999999999998
76,92.552,0.992000000000004
77,93.54400000000001,0.896000000000001
78,94.44000000000001,0.9839999999999949
79,95.424,1.3159999999999998
80,96.74000000000001,1.1640000000000001
81,97.90400000000001,1.01600000000001
82,98.92000000000002,1.08399999999999
83,100.004,1.21600000000001
84,101.22000000000001,1.22399999999999
85,102.444,1.34
86,103.784,1.02000000000001
87,104.80400000000002,1.032
88,105.83600000000001,1.1840000000000002
89,107.02000000000001,1.196
90,108.21600000000001,0.948000000000008
91,109.16400000000002,0.8679999999999949
92,110.03200000000001,0.8760000000000051
93,110.90800000000002,1.20399999999999
94,112.11200000000001,1.3519999999999999
95,113.46400000000001,1.30000000000001
96,114.76400000000002,1.0359999999999698
97,115.8,1.17600000000002
98,116.97600000000001,1.01599999999999
99,117.992,1.36799999999999
100,119.36,1.12
101,120.48,1.4360000000000102
102,121.91600000000001,1.44399999999999
103,123.36,1.3920000000000199
104,124.75200000000002,1.196
105,125.94800000000002,1.36799999999999
106,127.31600000000002,1.4040000000000001
107,128.72000000000003,1.3880000000000101
108,130.10800000000003,1.2919999999999998
109,131.40000000000003,1.256
110,132.65600000000003,1.31199999999998
111,133.96800000000002,1.25200000000001
112,135.22000000000003,1.16
113,136.38000000000002,1.3159999999999998
114,137.69600000000003,1.3439999999999899
115,139.04000000000002,1.328
116,140.36800000000002,1.328
117,141.69600000000003,1.31200000000001
118,143.00800000000004,1.47199999999998
119,144.48000000000002,1.32400000000001
120,145.80400000000003,0.99199999999999
121,146.79600000000002,1.15600000000001
122,147.95200000000003,1.33599999999998
123,149.288,1.12
124,150.40800000000002,1.01600000000002
125,151.42400000000004,1.452
126,152.87600000000003,1.5119999999999998
127,154.38800000000003,1.41199999999998
128,155.8,1.1360000000000199
129,156.93600000000004,1.41999999999999
130,158.35600000000002,1.40800000000002
131,159.76400000000004,1.06
132,160.82400000000004,1.17599999999999
133,162.00000000000003,1.5159999999999898
134,163.51600000000002,1.45600000000002
135,164.97200000000004,1.10399999999998
136,166.07600000000002,1.29599999999999
137,167.372,1.32400000000001
138,168.69600000000003,1.06399999999999
139,169.76000000000002,1.18800000000002
140,170.94800000000004,1.31999999999999
141,172.26800000000003,1.28
142,173.54800000000003,1.03999999999999
143,174.58800000000002,1.05600000000001
144,175.64400000000003,1.3559999999999899
145,177.00000000000003,1.27600000000001
146,178.27600000000004,1.09199999999998
147,179.36800000000002,0.9720000000000079
148,180.34000000000003,1.04399999999998
149,181.38400000000001,1.2919999999999998
150,182.67600000000002,1.10000000000002
151,183.77600000000004,1.2919999999999998
152,185.06800000000004,1.07599999999999
153,186.14400000000003,1.024
154,187.16800000000003,1.304
155,188.47200000000004,1.26399999999998
156,189.73600000000002,1.04000000000002
157,190.77600000000004,1.09599999999998
158,191.872,1.31200000000001
159,193.18400000000003,1.21600000000001
160,194.40000000000003,1.03999999999999
161,195.44000000000003,1.22399999999999
162,196.66400000000002,1.22400000000002
163,197.88800000000003,1.03199999999998
164,198.92000000000002,1.012
165,199.93200000000002,1.32400000000001
166,201.25600000000003,1.25999999999999
167,202.51600000000002,1.17600000000002
168,203.69200000000004,1.03199999999998
169,204.72400000000002,1.172
170,205.89600000000002,1.30000000000001
171,207.19600000000003,1.1840000000000002
172,208.38000000000002,1.072
173,209.45200000000003,1.244
174,210.69600000000003,1.244
175,211.94000000000003,1.02799999999999
176,212.96800000000002,1.024
177,213.99200000000002,1.18000000000001
178,215.17200000000003,1.06400000000002
179,216.23600000000005,1.12
180,217.35600000000005,1.072
181,218.42800000000005,1.0879999999999699
182,219.51600000000002,1.10000000000002
183,220.61600000000004,1.16399999999999
