,HA_0_SDNN_min,HA_0_SDNN_max,HA_0_SDNN_mean,HA_0_RMSSD_min,HA_0_RMSSD_max,HA_0_RMSSD_mean,HA_0_ulf_min,HA_0_ulf_max,HA_0_ulf_mean,HA_0_vlf_min,HA_0_vlf_max,HA_0_vlf_mean,HA_0_lf_min,HA_0_lf_max,HA_0_lf_mean,HA_0_hf_min,HA_0_hf_max,HA_0_hf_mean,HA_0_lfhf_min,HA_0_lfhf_max,HA_0_lfhf_mean,HA_0_SD1_min,HA_0_SD1_max,HA_0_SD1_mean,HA_0_SD2_min,HA_0_SD2_max,HA_0_SD2_mean,HA_0_SD1SD2_min,HA_0_SD1SD2_max,HA_0_SD1SD2_mean,HA_0_ApEn_min,HA_0_ApEn_max,HA_0_ApEn_mean,HA_1_SDNN_min,HA_1_SDNN_max,HA_1_SDNN_mean,HA_1_RMSSD_min,HA_1_RMSSD_max,HA_1_RMSSD_mean,HA_1_ulf_min,HA_1_ulf_max,HA_1_ulf_mean,HA_1_vlf_min,HA_1_vlf_max,HA_1_vlf_mean,HA_1_lf_min,HA_1_lf_max,HA_1_lf_mean,HA_1_hf_min,HA_1_hf_max,HA_1_hf_mean,HA_1_lfhf_min,HA_1_lfhf_max,HA_1_lfhf_mean,HA_1_SD1_min,HA_1_SD1_max,HA_1_SD1_mean,HA_1_SD2_min,HA_1_SD2_max,HA_1_SD2_mean,HA_1_SD1SD2_min,HA_1_SD1SD2_max,HA_1_SD1SD2_mean,HA_1_ApEn_min,HA_1_ApEn_max,HA_1_ApEn_mean,HA_2_SDNN_min,HA_2_SDNN_max,HA_2_SDNN_mean,HA_2_RMSSD_min,HA_2_RMSSD_max,HA_2_RMSSD_mean,HA_2_ulf_min,HA_2_ulf_max,HA_2_ulf_mean,HA_2_vlf_min,HA_2_vlf_max,HA_2_vlf_mean,HA_2_lf_min,HA_2_lf_max,HA_2_lf_mean,HA_2_hf_min,HA_2_hf_max,HA_2_hf_mean,HA_2_lfhf_min,HA_2_lfhf_max,HA_2_lfhf_mean,HA_2_SD1_min,HA_2_SD1_max,HA_2_SD1_mean,HA_2_SD2_min,HA_2_SD2_max,HA_2_SD2_mean,HA_2_SD1SD2_min,HA_2_SD1SD2_max,HA_2_SD1SD2_mean,HA_2_ApEn_min,HA_2_ApEn_max,HA_2_ApEn_mean,SNP_0_SDNN_min,SNP_0_SDNN_max,SNP_0_SDNN_mean,SNP_0_RMSSD_min,SNP_0_RMSSD_max,SNP_0_RMSSD_mean,SNP_0_ulf_min,SNP_0_ulf_max,SNP_0_ulf_mean,SNP_0_vlf_min,SNP_0_vlf_max,SNP_0_vlf_mean,SNP_0_lf_min,SNP_0_lf_max,SNP_0_lf_mean,SNP_0_hf_min,SNP_0_hf_max,SNP_0_hf_mean,SNP_0_lfhf_min,SNP_0_lfhf_max,SNP_0_lfhf_mean,SNP_0_SD1_min,SNP_0_SD1_max,SNP_0_SD1_mean,SNP_0_SD2_min,SNP_0_SD2_max,SNP_0_SD2_mean,SNP_0_SD1SD2_min,SNP_0_SD1SD2_max,SNP_0_SD1SD2_mean,SNP_0_ApEn_min,SNP_0_ApEn_max,SNP_0_ApEn_mean,JOY_0_SDNN_min,JOY_0_SDNN_max,JOY_0_SDNN_mean,JOY_0_RMSSD_min,JOY_0_RMSSD_max,JOY_0_RMSSD_mean,JOY_0_ulf_min,JOY_0_ulf_max,JOY_0_ulf_mean,JOY_0_vlf_min,JOY_0_vlf_max,JOY_0_vlf_mean,JOY_0_lf_min,JOY_0_lf_max,JOY_0_lf_mean,JOY_0_hf_min,JOY_0_hf_max,JOY_0_hf_mean,JOY_0_lfhf_min,JOY_0_lfhf_max,JOY_0_lfhf_mean,JOY_0_SD1_min,JOY_0_SD1_max,JOY_0_SD1_mean,JOY_0_SD2_min,JOY_0_SD2_max,JOY_0_SD2_mean,JOY_0_SD1SD2_min,JOY_0_SD1SD2_max,JOY_0_SD1SD2_mean,JOY_0_ApEn_min,JOY_0_ApEn_max,JOY_0_ApEn_mean,JOY_1_SDNN_min,JOY_1_SDNN_max,JOY_1_SDNN_mean,JOY_1_RMSSD_min,JOY_1_RMSSD_max,JOY_1_RMSSD_mean,JOY_1_ulf_min,JOY_1_ulf_max,JOY_1_ulf_mean,JOY_1_vlf_min,JOY_1_vlf_max,JOY_1_vlf_mean,JOY_1_lf_min,JOY_1_lf_max,JOY_1_lf_mean,JOY_1_hf_min,JOY_1_hf_max,JOY_1_hf_mean,JOY_1_lfhf_min,JOY_1_lfhf_max,JOY_1_lfhf_mean,JOY_1_SD1_min,JOY_1_SD1_max,JOY_1_SD1_mean,JOY_1_SD2_min,JOY_1_SD2_max,JOY_1_SD2_mean,JOY_1_SD1SD2_min,JOY_1_SD1SD2_max,JOY_1_SD1SD2_mean,JOY_1_ApEn_min,JOY_1_ApEn_max,JOY_1_ApEn_mean,JOY_2_SDNN_min,JOY_2_SDNN_max,JOY_2_SDNN_mean,JOY_2_RMSSD_min,JOY_2_RMSSD_max,JOY_2_RMSSD_mean,JOY_2_ulf_min,JOY_2_ulf_max,JOY_2_ulf_mean,JOY_2_vlf_min,JOY_2_vlf_max,JOY_2_vlf_mean,JOY_2_lf_min,JOY_2_lf_max,JOY_2_lf_mean,JOY_2_hf_min,JOY_2_hf_max,JOY_2_hf_mean,JOY_2_lfhf_min,JOY_2_lfhf_max,JOY_2_lfhf_mean,JOY_2_SD1_min,JOY_2_SD1_max,JOY_2_SD1_mean,JOY_2_SD2_min,JOY_2_SD2_max,JOY_2_SD2_mean,JOY_2_SD1SD2_min,JOY_2_SD1SD2_max,JOY_2_SD1SD2_mean,JOY_2_ApEn_min,JOY_2_ApEn_max,JOY_2_ApEn_mean
s01,-1.45282618224907,3.8314515692833813,-9.070758328852342e-17,-1.714971604351536,3.1416910433844585,2.6456378459152668e-17,-0.5160066816700136,6.681744397873035,3.0235861096174476e-17,-0.5159830370949056,6.667875509212275,1.5117930548087238e-17,-0.5517221086860359,6.276766506852835,4.535379164426171e-17,-0.702602218008958,4.345570422142664,-1.662972360289596e-16,-1.4382553084322405,2.7106912267636196,-2.2676895822130855e-16,-1.649355569006315,3.3157141585905965,1.927536144881123e-16,-1.2704603616362342,4.145330075433077,1.285024096587415e-16,-0.17991985885352813,15.224929870306944,-7.558965274043619e-18,-1.2964601627188532,3.7537693737799596,4.062943834798445e-16,-1.3755867186823139,3.6724071494260637,-1.1680154560440002e-16,-1.6562874512401013,3.4241448619386485,1.0706808347070003e-16,-0.5732015552148295,5.8989017525339165,-1.1680154560440002e-16,-0.5733767154442752,5.90278059552692,0.0,-0.6198071515475063,5.835970156232805,2.9200386401100005e-17,-0.7933701647264843,4.788181832290614,1.3626846987180004e-16,-1.4376596942560316,3.1004925204233476,-9.733462133700002e-17,-1.710496234101823,3.605714041699428,9.733462133700003e-18,-1.390312519066645,3.7727497145642674,-1.1680154560440002e-16,-1.396281072516348,8.432643720235985,6.326750386905002e-17,-1.3141103410696737,3.4710812806134412,9.733462133700002e-17,-1.7130474370041964,6.509933191843936,9.144258277179555e-17,-1.602267007913643,10.79524899599063,-5.418819719810106e-17,-0.6204558997684099,7.196678931286331,-7.112200882250765e-17,-0.6207508262012287,7.194817873511414,3.725438557369448e-17,-0.6787145418513516,7.046000409272608,6.604186533518567e-17,-0.9028818958200888,6.335657217239578,4.0641147898575796e-17,-1.4326899301074298,2.9552040592621664,8.466905812203291e-17,-1.5933051265529112,10.795897749667125,-1.8965869019335373e-16,-1.6379919374136185,4.312297734798521,7.450877114738896e-17,-0.03093032817817363,32.37282808551353,3.3867623248813163e-18,-1.179163205189291,5.399969693614061,2.709409859905053e-17,-1.318638865720993,4.729663108130505,6.977506406809494e-17,-1.381830180298599,3.9413243875659636,-4.6516709378729965e-17,-0.4256990801777673,9.47808278704184,0.0,-0.4258457509932991,9.444538037338177,4.6516709378729965e-17,-0.4599212543352017,8.688665848947684,0.0,-0.641129846110524,6.075795384105446,-2.3258354689364983e-17,-1.4384803600027758,3.662573035015774,2.7328566760003855e-16,-1.347237867976234,4.125167301943669,-2.3258354689364983e-16,-1.3067476986130255,5.172807444985896,-9.303341875745993e-17,-1.080364670610475,11.167029533686339,-1.6280848282555486e-16,-1.2364464216724014,5.20131232183976,9.303341875745993e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7135076289263058,6.019900083721217,-4.183508287823957e-16,-1.9983939102406723,4.19542138852792,2.614692679889973e-16,-0.5764996516402023,11.529786959117628,-2.614692679889973e-17,-0.576595831952577,11.527298009487385,5.229385359779946e-17,-0.6060705679295151,11.40293240944111,-5.229385359779946e-17,-0.8361879325424552,9.608786455496842,-7.84407803966992e-17,-1.4999164408149785,3.271086432321258,-5.229385359779946e-17,-1.8308668480244155,4.3924031662597685,1.8302848759229812e-16,-1.3860914008086194,6.176577438251943,2.614692679889973e-17,-1.2141121130292312,12.54676679309447,3.92203901983496e-17,-1.8129399736342167,4.264050314477126,-1.8302848759229812e-16,-0.4917676702917539,5.006316913605234,7.591268544445516e-18,-0.40699635398940215,5.685434848841512,1.518253708889103e-17,-0.32321450771301957,5.594487083674658,-1.8978171361113787e-17,-0.3233166590303903,5.573144572675262,1.8978171361113787e-17,-0.3122189644006574,5.0717042683898805,-2.2773805633336544e-17,-0.23098251685718793,5.542957725714005,0.0,-1.4121795604245868,2.680645675523542,2.0875988497225166e-16,-0.3937268315165671,5.903639221440071,6.832141690000964e-17,-0.7314819415980944,5.566568360951565,8.729958826112342e-17,-1.1185950689029445,3.71201804525503,-1.5562100516113304e-16,-0.29089122406913465,6.61780172660047,-5.057682667736824e-16,-1.0017207132172927,4.55997729244791,-5.508083222946513e-17,-0.8478634575329922,4.283780655850431,0.0,-0.41224406875171243,7.746883274359466,0.0,-0.4131785571462796,7.74182191479947,-5.508083222946513e-17,-0.45895033100695964,7.343171852153788,9.639145640156398e-17,-0.5095524110693813,5.645559843942013,-8.26212483441977e-17,-1.4048231695041036,3.0311230937080658,5.508083222946513e-17,-0.8337973897973038,4.658159475940765,-5.508083222946513e-17,-1.1041183485633783,4.973354473601179,1.514722886310291e-16,-1.0291770346410167,4.986208350689262,-1.9278291280312795e-16,-0.8793274985938534,3.715074947425344,3.855658256062559e-16,-0.9057720597105431,6.762590606558513,-1.4680635036365707e-17,-0.8373309053778961,7.793748452895608,-1.0276444525455995e-16,-0.4165341254273218,7.258774162437693,0.0,-0.41658625126395893,7.288448751792321,-1.4680635036365707e-17,-0.42305952393615764,7.278877146101423,5.1382222627279974e-17,-0.4043609086137047,10.353555470128473,1.4680635036365707e-17,-1.3274989735711547,2.684205555876977,-6.239269890455425e-17,-0.8736137500591589,7.948110228495715,7.340317518182853e-17,-0.9157220769091214,4.600418180463651,7.340317518182853e-17,-0.06442816274120099,15.524174694207609,3.670158759091427e-18,-0.503799755296364,5.986335813520079,-6.753092116728225e-16
s05,-4.083774838843375,6.341025540658603,-1.1786253910712563e-16,-4.2135828227014915,3.832309089576842,-5.724751899488959e-16,-0.8282021767229678,10.09871178225678,-4.2093763966830577e-17,-0.8296801910362195,10.091809565649559,1.599563030739562e-16,-1.0601053369875622,9.821682387723754,0.0,-2.178141425242774,7.276257005033503,-2.5256258380098347e-16,-1.5035977427995137,3.4382783946661624,3.3675011173464466e-17,-3.3630805560856287,2.433456797927544,0.0,-2.410676945171299,5.9418365630725445,2.7781884218108184e-16,-1.7093411788906732,6.065577753340845,-2.273063254208851e-16,-0.37644319274209337,5.6256086126985725,-4.882876620152347e-16,-3.0816647972206788,4.22532371705177,-1.7352586091827638e-16,-2.7055809028724433,3.644926456187661,2.9225408154657075e-16,-0.8617472907969497,7.10062323398914,6.393058033831236e-17,-0.8625143042583854,7.106171225238436,3.6531760193321344e-17,-1.079412200812584,7.193241893153561,1.0959528057996404e-16,-1.7481309564250538,5.312029286851285,4.1098230217486514e-17,-1.3774924383740883,3.6861147429395213,-5.479764028998202e-17,-2.519130591497493,3.0483544564447604,1.5069351079745056e-16,-2.2187376217929846,3.6704586863835353,-2.0777438609951516e-16,-1.3123296983031594,10.7886348104764,7.306352038664269e-17,-5.021114045516562,8.173087861781083,-9.49825765026355e-16,-2.1145093187409834,5.464406909800539,9.43689570931383e-17,-1.6689808218374007,5.873736512805059,3.774758283725532e-16,-0.947673001767436,4.2719010919057006,-1.1102230246251565e-16,-0.9463425433291613,4.282932348745387,2.2204460492503132e-17,-1.126333262472382,4.5958249654920005,7.771561172376095e-17,-1.1974818582630211,5.856742286090913,1.4062824978585316e-16,-1.3157914984828214,2.6881605806931295,1.4802973661668753e-16,-1.7135735147369848,5.2487746636410595,1.1102230246251566e-17,-2.4275333482659534,2.8614280843736757,-1.8133642735544223e-16,-1.707660085952054,2.9961601685471675,-1.6283271027835628e-16,-0.304396708539273,6.657361874841295,-9.177843670234628e-16,-3.0237430288195846,4.551468349509786,2.5124163032401334e-16,-2.693920543337502,5.254552370353718,4.475241540146487e-16,-0.8047503734078474,8.227399181268156,-1.5702601895250834e-17,-0.8055671723265403,8.234202803514828,3.140520379050167e-17,-1.0302532713364536,8.3163059676061,9.4215611371505e-17,-1.654427938706917,6.519008925585772,1.2562081516200667e-16,-1.3894001887770162,3.8160572802150705,-2.1983642653351167e-16,-2.449604056421655,4.928074766296719,2.2376207700732435e-16,-2.113115915184584,4.009601248113853,-1.5702601895250832e-16,-0.9730241295378963,12.224941046905768,1.9039404797991636e-16,-4.332271639402493,6.963014794372172,-1.1933977440390633e-15,-2.245231196895991,4.216571464498523,-7.21363183512792e-17,-2.135434379206572,3.70250990025507,2.5247711422947724e-16,-0.707522143644875,5.6467086107882425,1.442726367025584e-16,-0.707620943868457,5.6834631798008886,-7.21363183512792e-17,-0.9071308404581229,6.44460185157748,-5.410223876345941e-17,-1.4242910818743617,4.796143629147768,3.60681591756396e-17,-1.2007729400651714,4.418307511185309,1.713237560842881e-16,-2.280341596483834,3.5015477499346304,3.065793529929366e-16,-2.1116270941146413,4.054173698339511,-1.623067162903782e-16,-0.9701467880153153,12.123185176885794,1.0144169768148638e-16,-5.532262606883282,1.77716317521172,-3.7871567134421584e-16,-2.1870538882231747,4.725820765803822,6.395850033166663e-16,-2.1676873562709145,3.7725094668585712,-3.6202924716037714e-17,-0.5654018623981533,6.578390162269075,-5.189085875965406e-17,-0.5657337207223296,6.579757210390256,-9.654113257610057e-17,-0.6368669451600927,6.600870167267471,1.0619524583371063e-16,-1.0344808847639748,4.89666247369208,9.654113257610057e-17,-1.4059128926162416,3.3257719929069327,-2.5402385509086463e-16,-1.8381952154185675,2.9056783667921273,4.525365589504714e-16,-1.9474285604564188,4.517520601756226,2.5100694469786146e-16,-1.5716636832221207,2.9190106385977423,-2.0756343503861623e-16,-3.310451591524813,5.115969464387718,-7.240584943207542e-16,-4.395466458377287,5.661645883593815,6.117255340980995e-16,-4.165174351234345,3.8750644350280714,-4.352662454159554e-16,-1.0046168436233864,9.06435640186989,1.5293138352452487e-16,-1.0060113087224967,9.054493948776267,-9.411162063047685e-17,-1.298162344637993,9.090684546683839,-1.882232412609537e-16,-2.3923639443654077,6.256934031893449,-2.9409881447024017e-17,-1.5724020635700575,3.333187626185556,-1.5293138352452487e-16,-3.084444844331747,3.3857878095055094,-4.940860083100034e-16,-2.580596685896242,5.2430540464003075,-4.117383402583362e-16,-1.557843708024797,10.643771440854128,3.529185773642882e-17,-4.112527984950089,6.838887892631475,4.352662454159554e-16
u03,-1.4506865474515662,6.74909849871659,1.7121511705062657e-17,-1.2851974786447482,5.873702882518065,6.848604682025063e-17,-0.38407231554898563,14.531199590758508,-4.280377926265664e-17,-0.38441676014426945,14.541142845627892,-1.7121511705062657e-17,-0.44547810660419035,14.244603147438745,-3.8523401336390973e-17,-0.7769170036442343,9.970841306676862,5.1364535115187967e-17,-1.1362669633479896,3.952410624307575,-1.7977587290315788e-16,-1.3132284294548318,5.883130368917179,3.4243023410125313e-17,-1.836351058481719,7.599775150507884,-5.1364535115187967e-17,-2.1783593980369695,9.483359379379854,-1.1985058193543859e-16,-0.6237687373166637,7.18042422338393,-1.0272907023037593e-16,-1.8311629956217141,4.563351585688027,-7.765494379891805e-17,-1.7513964551875165,7.0665998442524565,-1.8443049152243038e-16,-0.5803665844816706,8.136861855587426,2.1840452943445702e-17,-0.581438124117464,8.114362257417312,3.6400754905742835e-17,-0.7113128543659272,7.7358716811404165,1.4560301962297136e-17,-1.3006597058932121,5.558735046319274,4.853433987432378e-18,-1.1342006029200429,4.93744629595194,-5.338777386175616e-17,-2.0019490603649035,6.961551562919081,2.5237856734648366e-16,-1.8630342889410352,4.6337023305184895,-2.038442274721599e-16,-2.4384983089029677,10.71841473249096,8.736181177378281e-17,-0.6822145387016898,4.322247679265977,1.8928392550986274e-16,-1.6684796210061912,5.388634112547488,-3.46137191980563e-16,-1.3749578217609444,6.245233963834246,2.30758127987042e-16,-0.5434987104244922,12.640774864518207,-3.3652226998110294e-17,-0.5448532585159791,12.571028150445258,0.0,-0.655971976340891,11.77003312759889,1.4422382999190126e-16,-1.1208629392427232,5.7220137636992146,-1.490312909916313e-16,-1.1482115888626043,4.4716496975515625,7.451564549581565e-17,-1.3430346663178454,6.270977785608171,9.614921999460084e-18,-1.765530430241157,6.32910855966384,7.691937599568068e-17,-0.9200434999295539,21.77254252909696,-3.845968799784034e-17,-0.7258633481854443,8.25109827202201,2.1152828398812185e-16,-1.7014905665124531,4.483984030602051,-3.531524531610836e-16,-1.3748138761845194,4.610494771073721,-3.1783720784497525e-16,-0.5942333531400038,7.436027419005572,-4.9441343442551705e-17,-0.5948931034720524,7.4446655993793796,-2.8252196252886684e-17,-0.7110932601722112,7.874080026903195,2.8252196252886684e-17,-1.1006935521595633,6.222244055537496,-1.1300878501154674e-16,-1.2018254616191961,3.8205218484469623,3.531524531610836e-17,-1.4224554736481576,4.702990020995048,-9.888268688510341e-17,-2.0487863160581306,4.61554944111267,1.1300878501154674e-16,-0.7029786573620236,21.608019008063593,1.8010775111215264e-16,-0.6131408169289714,8.221057155123312,-9.181963782188174e-17,-2.104796150998717,4.298933278955574,1.5821801808423282e-16,-2.35031464011327,4.995509946360883,-1.5821801808423282e-16,-0.6141171524042847,7.392813122645825,1.4383456189475712e-17,-0.6151175500590476,7.364899415101307,1.4383456189475712e-17,-0.7598610301196663,6.639134062492181,-2.8766912378951425e-17,-1.344187135445642,4.912993202724097,-1.654097461789707e-16,-1.2101422277371467,3.4521561643940095,0.0,-2.2937940805079307,5.135787850998536,-1.0787592142106784e-16,-1.8785826020435814,4.616674126595293,8.630073713685427e-17,-2.2671559062300366,3.9551902251427395,9.421163804106592e-16,-0.8281797409526297,4.850228684495109,4.45887141873747e-16,-1.3265926118701596,6.354193329690877,-3.772793287221771e-16,-1.22423531290077,8.469274211826367,4.191992541357523e-17,-0.41548558872913394,11.20721461220164,1.0479981353393808e-17,-0.4171288584050357,11.185530280090362,5.239990676696904e-17,-0.5170181244576213,10.040754746622373,1.0479981353393808e-17,-0.6952660150516259,8.50985971935268,-1.0479981353393808e-16,-1.200628355134778,4.235546656053226,-8.383985082715046e-17,-1.368584556711264,8.811259207025595,1.257597762407257e-16,-1.7496443400391997,6.3502061645741295,-1.7815968300769473e-16,-0.5965444740958854,17.569040369686643,-2.0959962706787616e-17,-0.5596798422540599,5.445000506349388,-1.6243971097760402e-16,-1.9067685443760782,4.282052294278047,1.9699559595643313e-16,-1.823458907048018,4.387768916970441,6.7929515847045905e-16,-0.5601798537448658,6.895353540023639,4.415418530057984e-17,-0.5611457657292933,6.90259681953483,8.491189480880738e-18,-0.69275311654081,6.755608129496833,7.811894322410279e-17,-1.3438774351152096,5.860114297958133,-2.139779749181946e-16,-1.1903552496005878,3.7020282124120443,4.0757709508227546e-17,-1.85942280819728,4.68494166679424,2.7511453918053594e-16,-2.3375599049717333,4.446590146255567,0.0,-3.2710649321385845,6.980408301124388,1.749185033061432e-16,-0.6964811157261542,4.7826432406762,6.725022068857545e-16
u04,-1.7284789814394563,3.959090911987993,-1.4560301962297134e-16,-2.4520313283676036,2.866501317818071,2.912060392459427e-17,-0.6574646792270109,6.7102399455938135,7.280150981148567e-17,-0.6576736628647673,6.7087024302535685,-8.736181177378281e-17,-0.7115853319834123,6.561574781583229,0.0,-1.0015512667496003,4.726916008308261,-1.4560301962297134e-16,-1.4493820553470398,2.7100655835345453,-2.1112437845330844e-16,-2.1496550722911265,2.9724909773318653,-5.0961056868039973e-17,-1.7188225773887966,3.969828011361779,-1.5288317060411991e-16,-1.6112867359695315,5.305679488456334,1.2740264217009992e-16,-0.6213026524764722,4.903925384878115,2.038442274721599e-16,-1.481848410556981,8.130742669156245,8.973348982537348e-17,-1.8224742624311716,7.487992648779689,-1.9777993675796604e-16,-0.40728826770361837,14.212698238649747,3.113202708227243e-17,-0.40741875994293275,14.193111411242219,-9.156478553609538e-17,-0.4206770206159543,13.86970552516422,4.028850563588197e-17,-0.5692109472372547,13.76277720473962,-2.7469435660828616e-17,-1.4533570581471391,3.262197464459306,-4.944498418949151e-17,-1.7810710849902374,7.964389836942655,-2.5638139950106705e-16,-1.289229325924812,7.842347428153429,1.5382883970064024e-16,-0.9779332048366599,14.242307286615427,-4.395109705732578e-17,-0.6565990387691003,4.759956686808563,-8.057701127176394e-17,-1.5686270199099352,5.712437600149244,-3.5931364640207345e-17,-2.1192954547769993,6.528148285053282,3.9524501104228077e-16,-0.5802812247069532,7.956899661812784,8.982841160051836e-18,-0.5802526037676878,7.967306915798035,1.7965682320103672e-17,-0.6065722050351493,7.998948479620352,-1.7965682320103672e-17,-0.8681004501614714,9.105279722905976,-5.389704696031101e-17,-1.4424022156248684,2.781563795495427,9.431983218054427e-17,-2.2906462616259073,5.791980430060079,-1.8863966436108854e-16,-1.4870140126499336,5.163809007736549,-1.527082997208812e-16,-1.3631320535730955,9.283812341085557,7.63541498604406e-17,-0.7055388307338684,7.389506045577031,9.881125276057019e-17,-1.431602632271536,7.035528797553547,9.805791470150003e-17,-1.6717100003669942,6.830186359301479,-4.5257499093000014e-17,-0.4981131279384005,11.207516954514363,-8.297208167050002e-17,-0.49791034907646015,11.222164596527756,-3.017166606200001e-17,-0.5089324909965192,11.348425720114959,-1.1314374773250004e-17,-0.602247761235683,12.056230868092728,5.657187386625001e-17,-1.5165365073811707,2.4266976131517315,-5.2800415608500014e-17,-1.5689685520118206,7.457920239455539,1.2822958076350003e-16,-1.2770923684288669,6.869354919049067,1.0937228947475003e-16,-0.9160247883131212,14.058913114046272,7.542916515500002e-17,-1.9817124450392398,4.142757828613212,2.0554447504737506e-16,-1.6346718115703955,3.5903743379353017,1.5139404881252134e-16,-1.8882946787329493,3.3129431215047607,1.0092936587501423e-16,-0.6587272184245743,5.988974082835912,4.0371746350005693e-17,-0.6587447143161969,5.981123650821911,9.083642928751281e-17,-0.6972613728066478,5.712307168199292,-3.532527805625498e-17,-0.9818366553193776,3.286283521922627,-7.065055611250996e-17,-1.56285087705861,2.404026124629204,1.312081756375185e-16,-1.9333511271208208,3.5081475813659955,-9.083642928751281e-17,-1.6348825674135774,3.649471983834127,2.220446049250313e-16,-1.3179172105172494,8.723567940499937,-6.055761952500853e-17,-0.6409896378170633,5.227716431574778,-3.2297397080004555e-16,-1.1748637048646304,5.422519351409948,1.7390906120002452e-16,-1.4242981654431317,5.175390386509274,2.4844151600003505e-16,-0.39910787941082565,8.001185776151422,-1.2422075800001751e-17,-0.3988697506237049,7.990270889607889,1.2422075800001751e-17,-0.4045301064708847,7.632335658963443,0.0,-0.4768172622666257,7.4700644051265215,6.211037900000876e-17,-1.4537560210030636,2.7402393796475946,1.9254217490002714e-16,-1.4163813290361877,5.2037701153657325,-3.7266227400005256e-17,-1.0533757408229776,5.335072075383649,9.937660640001401e-17,-1.0726601319351707,5.404670954824387,-8.695453060001226e-17,-0.7207777119278805,4.274703222049585,5.900486005000832e-17,-1.3423456509263998,6.910449172018929,-5.407478963166668e-18,-1.7107029505800275,7.201459195132392,6.218600807641668e-17,-0.49332617537339696,12.289751594297185,5.407478963166668e-18,-0.49337119096739696,12.28915968219165,-1.0814957926333336e-17,-0.5162571924817337,12.227026960242252,1.0814957926333336e-17,-0.6355487582404606,12.667308802708435,8.651966341066668e-17,-1.5524608054882951,2.435298673610395,-3.4607865364266674e-16,-2.043003794885674,6.560659821941068,9.733462133700002e-17,-1.373817606798635,6.583429326668492,-1.0814957926333336e-17,-1.2839208257058505,11.613757497779046,2.162991585266667e-17,-0.6355831028263829,4.179060386679682,1.5681688993183337e-16
