Task,Task time,Index diff time,Start Time,End Time
s06_HA_A0_5,61.369,61.368,1542046794911,1542046856280
s06_HA_A0_6,14.685,14.684000000000001,1542046875322,1542046890007
s06_HA_A0_7,11.191,11.192,1542046895605,1542046906796
s06_HA_A0_1,5.807,5.808,1542046920596,1542046926403
s06_HA_A0_2,16.539,16.54,1542046930272,1542046946811
s06_HA_A0_3,10.159,10.16,1542046948823,1542046958982
s06_HA_A0_4,25.569,25.568,1542046974550,1542047000119
s06_JOY_A0_7,7.308,7.312,1543938661969,1543938669277
s06_JOY_A0_1,7.559,7.564,1543938680576,1543938688135
s06_JOY_A0_2,16.192,16.196,1543938692188,1543938708380
s06_JOY_A0_3,9.611,9.616,1543938710604,1543938720215
s06_JOY_A0_4,21.901,21.908,1543938732706,1543938754607
s06_JOY_A0_5,36.71,36.724000000000004,1543938778980,1543938815690
s06_JOY_A0_6,13.417,13.42,1543938833224,1543938846641
s06_SNP_A0_6,71.326,71.356,1545150061649,1545150132975
s06_SNP_A0_7,34.927,34.944,1545150146473,1545150181400
s06_SNP_A0_1,28.641,28.652,1545150224760,1545150253401
s06_SNP_A0_2,58.252,58.276,1545150279645,1545150337897
s06_SNP_A0_3,42.743,42.76,1545150341866,1545150384609
s06_SNP_A0_4,72.834,72.864,1545150567437,1545150640271
s06_SNP_A0_5,82.354,82.388,1545150801778,1545150884132
s07_SNP_A0_5,306.815,306.656,1542664443583,1542664750398
s07_SNP_A0_6,49.328,49.304,1542664946100,1542664995428
s07_SNP_A0_7,47.433,47.408,1542665020588,1542665068021
s07_SNP_A0_1,49.979,49.952,1542665118247,1542665168226
s07_SNP_A0_2,134.215,134.144,1542665206181,1542665340396
s07_SNP_A0_3,40.48,40.46,1542665345155,1542665385635
s07_SNP_A0_4,103.608,103.556,1542665892161,1542665995769
s08_HA_A0_6,19.491,19.496,1544125805397,1544125824888
s08_HA_A0_7,14.618,14.620000000000001,1544125829669,1544125844287
s08_HA_A0_1,7.158,7.16,1544125877552,1544125884710
s08_HA_A0_2,16.226,16.232,1544125888983,1544125905209
s08_HA_A0_3,29.901,29.912,1544125907454,1544125937355
s08_HA_A0_4,32.757,32.764,1544125954026,1544125986783
s08_HA_A0_5,38.06,38.072,1544126062232,1544126100292
s08_JOY_A0_7,10.373,10.372,1543533612517,1543533622890
