id,interface,mental_rs,mental_ws,physical_rs,physical_ws,temporal_rs,temporal_ws,performance_rs,performance_ws,effort_rs,effort_ws,frustration_rs,frustration_ws,Raw Score,Weighted Score
U09,headarray,39,3,3,0,,1,24,5,29,2,34,4,21.5,28.73333333
U09,headarray,14,3,,0,,1,2,5,,2,2,4,3,4
U09,headarray,18,1,,0,,2,20,5,29,3,19,4,14.33333333,18.73333333
S00,headarray,71,5,29,3,38,3,15,0,40,1,52,3,40.83333333,50.13333333
S00,headarray,67,4,31,1,49,5,12,0,53,3,36,2,41.33333333,51.66666667
S00,headarray,65,3,43,1,52,4,11,0,61,2,70,5,50.33333333,61.2
U14,sip_and_puff,18,3,33,5,4,1,15,4,21,2,33,0,20.66666667,21.66666667
S03,joystick,3,0,10,3,29,1,,3,21,5,10,3,12.16666667,12.93333333
S03,joystick,49,1,45,4,3,0,10,2,59,4,52,4,36.33333333,46.2
S03,joystick,3,4,,2,,0,,5,,3,,1,0.5,0.8
S03,sip_and_puff,49,2,51,4,18,0,36,1,68,5,61,3,47.16666667,57.4
S04,headarray,62,5,36,1,18,1,,2,59,4,43,2,36.33333333,45.73333333
S04,headarray,53,2,23,1,12,3,,5,44,4,26,0,26.33333333,22.73333333
S04,headarray,67,3,38,1,8,4,36,0,64,2,61,5,45.66666667,46.93333333
U11,sip_and_puff,40,1,7,0,41,2,45,4,47,3,45,5,37.5,44.53333333
U10,sip_and_puff,59,4,46,4,25,0,35,1,57,3,48,3,45,51.33333333
U00,joystick,40,4,50,0,29,1,49,3,38,2,37,5,40.5,39.8
U00,joystick,29,4,37,0,2,1,44,3,28,2,34,5,29,31.73333333
U00,joystick,36,3,9,1,35,0,38,4,9,2,30,5,26.16666667,29.13333333
U06,joystick,37,4,44,0,19,3,14,5,34,1,24,2,28.66666667,23.8
U06,joystick,27,4,4,1,9,1,9,5,17,3,6,1,12,14.86666667
U06,joystick,5,2,52,0,32,3,12,5,18,1,46,4,27.5,24.53333333
U07,joystick,55,2,45,2,21,1,21,1,62,4,52,5,42.66666667,50
U07,joystick,70,4,36,2,45,1,30,2,58,2,63,4,50.33333333,55
U07,joystick,50,4,35,2,16,3,62,5,61,1,17,0,40.16666667,45.93333333
U13,sip_and_puff,59,5,11,0,46,4,55,2,55,1,55,3,46.83333333,53.93333333
U06,joystick,65,5,25,2,14,1,32,3,42,4,23,0,33.5,43.53333333
U06,headarray,37,5,19,1,8,2,4,4,24,3,51,0,23.83333333,20.53333333
U06,joystick,47,5,5,0,6,1,42,3,30,3,28,3,26.33333333,36.06666667
U13,joystick,40,3,14,1,39,3,39,3,22,2,38,3,32,35.06666667
U13,joystick,49,3,15,0,48,2,53,3,17,2,40,5,37,42.4
U13,joystick,56,4,7,1,42,3,51,2,16,1,37,4,34.83333333,41.53333333
U06,sip_and_puff,58,4,39,3,23,0,32,2,54,5,32,1,39.66666667,47.66666667
U13,headarray,48,2,15,0,21,4,41,2,33,2,67,5,37.5,44.2
U13,headarray,43,1,6,0,45,4,60,3,23,2,69,5,41,52.93333333
U13,headarray,24,1,12,1,44,4,32,3,16,1,32,5,26.66666667,32.26666667
U12,headarray,4,5,8,1,31,3,23,2,63,4,44,0,28.83333333,27.93333333
U12,headarray,56,4,21,2,31,0,26,1,32,4,64,4,38.33333333,45.06666667
U12,headarray,35,5,11,0,54,1,14,3,57,2,64,4,39.16666667,42.73333333
S04,sip_and_puff,62,4,14,1,27,3,,5,48,2,2,0,25.5,29.26666667
U01,headarray,25,4,37,0,25,4,25,4,41,1,30,2,30.5,26.73333333
U01,headarray,52,2,17,0,36,3,3,4,69,1,72,5,41.5,43.53333333
U01,headarray,23,4,20,0,12,2,13,5,25,3,8,1,16.83333333,17.6
U12,sip_and_puff,62,3,45,3,38,5,12,0,56,1,73,3,47.66666667,52.4
U11,headarray,48,2,24,0,15,1,21,5,38,3,34,4,30,31.06666667
U11,headarray,48,2,17,0,19,2,29,5,45,3,13,3,28.5,30.2
U11,headarray,58,2,22,0,42,3,65,4,55,3,53,3,49.16666667,55.06666667
U12,joystick,43,4,27,0,46,3,63,2,18,1,65,5,43.66666667,51.93333333
U12,joystick,28,2,4,0,28,4,31,4,32,1,61,4,30.66666667,37.86666667
U12,joystick,5,2,37,0,4,3,19,4,2,5,68,1,22.5,11.73333333
U01,sip_and_puff,42,2,47,4,20,3,39,1,45,5,22,0,35.83333333,39.73333333
U01,joystick,26,2,3,0,26,5,47,3,19,1,31,4,25.33333333,31.06666667
U01,joystick,36,4,13,0,34,3,24,2,36,1,53,5,32.66666667,39.66666667
U01,joystick,8,2,7,0,20,5,5,4,19,1,7,3,11,11.73333333
S05,sip_and_puff,16,4,47,3,,2,,2,3,1,3,3,11.5,14.46666667
U11,joystick,21,1,16,1,26,3,10,4,39,5,14,1,21,24.26666667
U11,joystick,60,1,42,3,37,1,57,2,60,4,71,4,54.5,57.4
U11,joystick,15,1,8,2,9,3,7,5,10,4,11,0,10,8.866666667
S06,headarray,39,3,28,3,12,5,10,2,7,2,,0,16,19.66666667
S06,headarray,44,4,6,4,,4,15,1,2,2,,0,11.16666667,14.6
S06,headarray,39,5,3,2,12,3,24,0,7,4,11,1,16,18.4
S05,joystick,,3,,1,,2,,4,,4,,1,0,0
S05,joystick,,2,,2,,0,,3,,3,,5,0,0
S05,joystick,,3,,4,,1,,2,,2,,3,0,0
S05,headarray,,2,,2,,2,,5,,1,,3,0,0
