id,interface,assistance,mental_rs,mental_ws,physical_rs,physical_ws,temporal_rs,temporal_ws,performance_rs,performance_ws,effort_rs,effort_ws,frustration_rs,frustration_ws,Raw Score,Weighted Score
S00,Sip N Puff,A0,78,5,39,4,57,3,47,1,43,2,12,0,46,56.66666667
U02,Head Array,A0,23,4,5,1,0,1,8,5,12,3,10,1,9.666666667,12.2
U02,Head Array,A2,74,5,50,2,11,0,63,3,63,1,74,4,55.83333333,67.86666667
U02,Head Array,A1,19,3,11,1,3,0,27,5,16,3,50,3,21,26.73333333
U05,Joystick,A2,45,4,6,1,10,0,23,5,39,3,42,2,27.5,33.46666667
U05,Joystick,A1,23,4,4,1,5,0,16,5,16,3,8,2,12,16
U05,Joystick,A0,12,3,6,1,5,0,7,5,13,4,19,2,10.33333333,11.13333333
U09,Head Array,A2,50,3,10,0,,1,35,5,40,2,50,4,30.83333333,40.33333333
U09,Head Array,A1,20,3,,0,,1,10,5,,2,10,4,6.666666667,10
U09,Head Array,A0,25,1,,0,,2,30,5,40,3,30,4,20.83333333,27.66666667
S00,Head Array,A1,90,5,45,3,62,3,25,0,55,1,70,3,57.83333333,69.06666667
S00,Head Array,A0,80,4,48,1,76,5,22,0,73,3,53,2,58.66666667,71.53333333
S00,Head Array,A2,78,3,68,1,83,4,21,0,82,2,91,5,70.5,83.53333333
U14,Sip N Puff,A0,25,3,50,5,11,1,25,4,30,2,5,0,24.33333333,33.06666667
S03,Joystick,A1,10,0,20,3,5,1,,3,30,5,2,3,11.16666667,14.73333333
S03,Joystick,A2,60,1,70,4,10,0,20,2,80,4,70,4,51.66666667,65.33333333
S03,Joystick,A0,10,4,,2,,0,,5,,3,,1,1.666666667,2.666666667
S03,Sip N Puff,A0,60,2,80,4,30,0,50,1,95,5,80,3,65.83333333,80.33333333
S04,Head Array,A0,75,5,55,1,30,1,,2,80,4,60,2,50,60
S04,Head Array,A1,65,2,35,1,20,3,,5,60,4,40,0,36.66666667,31
S04,Head Array,A2,80,3,60,1,15,4,50,0,85,2,80,5,61.66666667,62
U11,Sip N Puff,A0,51,1,18,0,65,2,61,4,64,3,62,5,53.5,61.8
U10,Sip N Puff,A0,72,4,73,4,42,0,49,1,78,3,66,3,63.33333333,70.73333333
U00,Joystick,A0,51,4,8,0,5,1,69,3,53,2,54,5,40,52.8
U00,Joystick,A1,38,4,6,0,1,1,60,3,39,2,50,5,32.33333333,44.06666667
U00,Joystick,A2,48,3,2,1,6,0,52,4,17,2,47,5,28.66666667,41.53333333
U06,Joystick,A1,49,4,7,0,31,3,24,5,48,1,38,2,32.83333333,35.53333333
U06,Joystick,A0,36,4,11,1,17,1,19,5,26,3,14,1,20.5,23.93333333
U06,Joystick,A2,12,2,9,0,53,3,22,5,27,1,64,4,31.16666667,38.4
U07,Joystick,A2,68,2,70,2,36,1,31,1,83,4,70,5,59.66666667,68.33333333
U07,Joystick,A1,87,4,55,2,71,1,42,2,79,2,83,4,69.5,73.53333333
U07,Joystick,A0,61,4,54,2,29,3,83,5,82,1,29,0,56.33333333,62.4
U13,Sip N Puff,A0,72,5,21,0,72,4,76,2,75,1,74,3,65,73.13333333
U06,Joystick,A2,78,5,37,2,22,1,45,3,59,4,37,0,46.33333333,57.13333333
U06,Head Array,A1,49,5,30,1,15,2,11,4,34,3,7,0,24.33333333,30.06666667
U06,Joystick,A0,58,5,14,0,13,1,58,3,41,3,43,3,37.83333333,48.6
U13,Joystick,A0,51,3,25,1,63,3,53,3,31,2,55,3,46.33333333,50.2
U13,Joystick,A2,60,3,26,0,74,2,74,3,26,2,57,5,52.83333333,59.13333333
U13,Joystick,A1,69,4,18,1,66,3,70,2,25,1,54,4,50.33333333,58.2
U06,Sip N Puff,A0,71,4,62,3,39,0,45,2,74,5,49,1,56.66666667,65.26666667
